age,kids,hours,domain,skill,education,city_type,language,device,work_mode,work_type,income
46,0,6,Teaching,Subject Knowledge,PG,Urban,English,Laptop,Work From Home,Home Tuition,24467
31,0,2,Electrician,Wiring,Diploma,Rural,Hindi,Mobile,Offline Local,Home Electrician,17958
32,3,2,Data Entry,Typing,10th,Urban,Both,Both,Offline Local,Typing Work,11045
36,1,8,Gardening,Nursery Management,No Formal,Rural,Both,Mobile,Offline Local,Plant Selling,16021
44,1,6,IT,Video Editing,No Formal,Urban,English,Laptop,Offline Local,Web Development,24977
28,1,8,Fitness,Nutrition,PG,Rural,English,Laptop,Offline Local,Yoga Instructor Online,26690
35,2,6,IT,Video Editing,8th,Rural,Both,Both,Hybrid,Freelancing,25660
31,3,4,Law,Research,UG,Urban,English,Both,Offline Local,Documentation Support,20523
22,1,8,Fitness,Nutrition,8th,Urban,English,Both,Work From Home,Diet Coach,24346
49,0,1,E-Commerce,Packing,UG,Rural,Both,Mobile,Hybrid,Order Processing,9916
32,2,1,Fitness,Nutrition,PG,Semi-Urban,English,Mobile,Hybrid,Zumba Trainer,18796
43,3,5,Commerce,Excel,UG,Rural,English,Mobile,Offline Local,GST Filing Assistant,18531
26,3,8,Music,Music Teaching,UG,Semi-Urban,Hindi,Laptop,Hybrid,Singer for Events,22418
21,0,4,Cooking,Meal Planning,No Formal,Semi-Urban,English,Laptop,Offline Local,Meal Prep Business,11088
38,0,6,Social Media,Content Writing,Diploma,Urban,Both,Both,Hybrid,Content Creator,24841
43,2,7,Data Entry,Excel,12th,Semi-Urban,Hindi,Laptop,Work From Home,Excel Assistant,18033
22,1,6,Nurse,Nursing Care,PG,Rural,Both,Laptop,Work From Home,Home Care Nurse,29115
28,1,6,Labour,Loading/Unloading,No Formal,Semi-Urban,English,Both,Work From Home,Factory Worker,14449
32,4,6,Music,Music Teaching,PG,Semi-Urban,English,Laptop,Work From Home,Singer for Events,18864
29,2,4,IT,Video Editing,PG,Semi-Urban,Both,Laptop,Work From Home,Graphic Designing,24472
30,1,7,Doctor,Consultation,PG,Semi-Urban,Both,Laptop,Offline Local,Clinic Support,33267
45,3,4,Baking,Baking,Diploma,Rural,Both,Mobile,Hybrid,Dessert Selling Online,13900
49,3,7,Gardening,Gardening,8th,Urban,Both,Mobile,Hybrid,Home Gardening Service,14865
50,1,5,Doctor,Basic Healthcare,Diploma,Urban,Hindi,Both,Offline Local,Health Consultant (Online),28455
40,3,4,Doctor,Consultation,PG,Semi-Urban,English,Both,Offline Local,Telemedicine Assistant,27353
44,1,3,Labour,Helper Skills,12th,Semi-Urban,Both,Laptop,Work From Home,Construction Helper,10174
25,1,2,Government,Office Work,Diploma,Semi-Urban,Hindi,Mobile,Offline Local,Clerk,20058
44,3,7,IT,Web Development,8th,Rural,Both,Mobile,Work From Home,Web Development,27421
21,1,2,Gardening,Plant Care,8th,Rural,English,Laptop,Hybrid,Plant Selling,11645
42,3,5,Cooking,Food Packaging,UG,Semi-Urban,Hindi,Both,Hybrid,Home Tiffin Service,18546
37,1,7,Doctor,Patient Support,No Formal,Urban,Hindi,Laptop,Hybrid,Telemedicine Assistant,26979
28,1,5,Electrician,Appliance Maintenance,PG,Urban,Both,Both,Work From Home,Home Electrician,20879
36,0,5,Teaching,Communication,8th,Semi-Urban,English,Both,Work From Home,Home Tuition,22170
48,1,7,Banking,Data Entry,UG,Urban,Hindi,Mobile,Hybrid,Back Office Assistant,25190
49,2,8,Commerce,Tally,12th,Rural,Hindi,Mobile,Work From Home,GST Filing Assistant,23949
37,3,6,Teaching,Teaching,UG,Urban,Hindi,Mobile,Hybrid,Home Tuition,23104
43,1,3,Security,Discipline,10th,Semi-Urban,English,Both,Hybrid,Security Guard,14131
45,0,2,Fitness,Exercise Training,12th,Semi-Urban,Hindi,Mobile,Offline Local,Yoga Instructor Online,16525
35,1,8,Doctor,Consultation,8th,Urban,English,Laptop,Work From Home,Telemedicine Assistant,29061
